EDGEID,"TYPE",HASH,SRCVERTEXHASH,DSTVERTEXHASH,"OPERATION","TIME"
304,"Used",-1044333000,1267515786,-1076140352,"read","978314597.311"
305,"WasInformedBy",-719487126,1267515793,1270364885,NULL,NULL
306,"Used",-1044332321,1267515793,-1076140352,"read","978314597.311"
307,"WasInformedBy",333344572,1265959057,1267515793,"fork","978314597.311"
308,"Used",-1044332321,1267515793,-1076140352,"read","978314597.311"
309,"WasInformedBy",333344572,1265959057,1267515793,"fork","978314597.311"
310,"Used",-1044341730,1267515793,-1076140352,"read","978314597.312"
311,"WasInformedBy",333335163,1265959057,1267515793,"fork","978314597.312"
312,"Used",-1044341730,1267515793,-1076140352,"read","978314597.312"
313,"WasInformedBy",333335163,1265959057,1267515793,"fork","978314597.312"
314,"Used",-1044341730,1267515793,-1076140352,"read","978314597.312"
315,"WasInformedBy",333335163,1265959057,1267515793,"fork","978314597.312"
316,"Used",-1044341730,1267515793,-1076140352,"read","978314597.312"
317,"WasInformedBy",333335163,1265959057,1267515793,"fork","978314597.312"
318,"Used",-1044341730,1267515793,-1076140352,"read","978314597.312"
319,"WasInformedBy",333363390,1265959057,1267515793,"fork","978314597.313"
320,"Used",-1044313503,1267515793,-1076140352,"read","978314597.313"
321,"WasInformedBy",333363390,1265959057,1267515793,"fork","978314597.313"
322,"Used",-1044313503,1267515793,-1076140352,"read","978314597.313"
323,"WasInformedBy",333363390,1265959057,1267515793,"fork","978314597.313"
324,"Used",-1044322912,1267515793,-1076140352,"read","978314597.314"
325,"Used",-1044322912,1267515793,-1076140352,"read","978314597.314"
326,"Used",-1044322912,1267515793,-1076140352,"read","978314597.314"
327,"WasInformedBy",333353981,1265959057,1267515793,"fork","978314597.314"
328,"Used",-1045273221,1267515793,-1076140352,"read","978314597.315"
329,"WasInformedBy",332403672,1265959057,1267515793,"fork","978314597.315"
330,"Used",-1045273221,1267515793,-1076140352,"read","978314597.315"
331,"WasInformedBy",332403672,1265959057,1267515793,"fork","978314597.315"
